N vs N_visited
1 vs 0
2 vs 1
3 vs 2
4 vs 1
5 vs 3
6 vs 3
7 vs 2
8 vs 3
9 vs 4
10 vs 4
11 vs 5
12 vs 4
13 vs 5
14 vs 3
15 vs 6
16 vs 7
17 vs 5
18 vs 5
19 vs 6
20 vs 4
21 vs 6
22 vs 8
23 vs 7
24 vs 4
25 vs 5
26 vs 5
27 vs 6
28 vs 6
29 vs 6
30 vs 6
31 vs 7
32 vs 2
33 vs 2
34 vs 8
35 vs 8
36 vs 8
37 vs 8
38 vs 4
39 vs 9
40 vs 9
41 vs 5
42 vs 9
43 vs 6
44 vs 5
45 vs 7
46 vs 5
47 vs 6
48 vs 7
49 vs 3
50 vs 8
51 vs 4
52 vs 6
53 vs 6
54 vs 7
55 vs 7
56 vs 7
57 vs 6
58 vs 9
59 vs 10
60 vs 11
61 vs 5
62 vs 6
63 vs 10
64 vs 3
65 vs 9
66 vs 7
67 vs 4
68 vs 8
69 vs 9
70 vs 10
71 vs 6
72 vs 8
73 vs 7
74 vs 10
75 vs 11
76 vs 7
77 vs 7
78 vs 12
79 vs 12
80 vs 9
81 vs 10
82 vs 9
83 vs 7
84 vs 8
85 vs 10
86 vs 4
87 vs 6
88 vs 10
89 vs 8
90 vs 13
91 vs 8
92 vs 4
93 vs 11
94 vs 11
95 vs 7
96 vs 8
97 vs 7
98 vs 7
99 vs 10
100 vs 12
